provincia;anio;sup_afectada;cant_focos
Buenos Aires;2014;2400;1
Chubut;2011;135;21
Chubut;2012;282;49
Chubut;2013;22;19
Chubut;2014;108;27
Chubut;2015;218;61
Chubut;2016;5;16
Córdoba;2015;50;1
Corrientes;2012;3877;36
Corrientes;2013;963;7
Corrientes;2014;430;7
Corrientes;2015;169;5
Entre Ríos;2012;361;0
Entre Ríos;2013;139;0
Entre Ríos;2014;60;4
Entre Ríos;2015;35;8
Jujuy;2012;754;18
Jujuy;2013;1899;25
Jujuy;2014;25;10
Jujuy;2015;45;9
La Pampa;2014;20;2
La Pampa;2015;5;1
Mendoza;2012;9;1
Mendoza;2013;50;7
Mendoza;2014;671;21
Mendoza;2015;364;51
Misiones;2012;445;0
Misiones;2013;48;0
Misiones;2014;74;7
Misiones;2015;113;3
Neuquén;2011;315;20
Neuquén;2012;638;54
Neuquén;2013;15;35
Neuquén;2014;1;8
Neuquén;2015;7;15
Neuquén;2016;8;0
Río Negro;2011;1;45
Río Negro;2012;5;141
Río Negro;2013;13;185
Río Negro;2014;19;218
Río Negro;2015;46;143
Río Negro;2016;65;84
San Juan;2015;5;2
Tucuman;2014;2;4
